catprofesi,despersonalizacion,agotamiento,realizacion,Lid_total,CT_total,DEMA_riesgo,DEMA_carga,Dem_sitio,Dem_emo,Reco_total,EXT_casa,EXT_zona,inhibicion_Ac,inhibicion_(Tmp_RTA)
85,1,15,12,41,38,29,12,22,20,10,28,11,23,1.0,28.35
86,1,6,16,42,31,30,16,17,17,8,28,19,16,0.96,50.11
87,1,4,27,47,45,26,8,24,12,8,30,16,25,0.84,73.36
88,1,2,4,15,45,27,15,19,20,13,29,13,20,0.93,89.44
89,0,3,12,32,45,28,13,20,18,10,29,10,21,0.53,69.45
90,1,5,2,48,45,20,6,25,8,11,27,17,25,0.99,30.73
91,0,8,7,48,45,18,11,24,16,14,30,16,19,0.97,49.0
92,1,1,11,45,45,29,13,19,17,8,30,12,25,1.0,76.18
93,1,0,1,41,42,19,12,21,18,9,27,16,23,1.0,30.97
94,1,3,21,41,41,28,12,21,16,14,30,15,19,0.95,66.09
95,0,14,9,47,38,26,12,21,20,10,29,19,19,0.97,13.76
96,1,10,9,48,34,28,14,24,16,9,30,17,22,0.89,3.63
97,1,1,11,47,28,26,9,25,15,11,30,13,19,1.0,49.02
98,1,0,0,41,45,21,11,24,18,12,30,10,22,0.96,40.69
99,1,6,8,46,35,27,15,19,20,6,30,14,21,0.89,61.1
100,1,8,16,40,33,27,9,23,17,14,29,19,22,0.95,112.87
101,1,1,24,44,38,21,8,21,18,9,29,17,23,0.98,148.69
102,1,8,11,42,33,28,14,21,16,9,30,14,21,1.0,36.71
103,1,13,11,39,44,26,8,22,17,13,30,14,21,0.94,121.48
104,1,5,15,40,40,30,13,17,12,15,28,13,19,0.97,24.8
105,1,3,51,18,45,18,11,19,17,9,29,12,25,0.98,1.55
106,0,6,29,31,37,16,12,20,20,7,30,16,22,0.99,142.89
107,1,0,7,42,34,26,12,18,14,13,24,12,22,0.92,24.8
108,1,4,11,42,37,25,20,23,20,10,28,20,22,0.93,14.55
109,1,2,14,48,41,23,13,20,18,9,27,14,25,0.98,49.33
110,1,7,12,47,23,28,13,21,16,14,30,16,15,0.94,7.22
111,1,3,19,47,45,26,8,17,16,15,30,20,21,0.96,7.47
112,1,17,12,48,45,27,10,23,19,8,30,17,20,0.99,42.39
113,1,6,21,47,34,29,7,23,17,8,29,15,25,1.0,61.66
114,1,2,21,42,45,27,13,24,12,15,30,13,25,0.99,13.51
115,1,0,6,47,45,27,10,17,17,11,29,18,23,0.97,70.52
116,1,9,17,39,45,22,15,24,16,11,29,20,21,0.94,69.45
117,1,0,5,41,40,30,17,18,20,17,29,18,21,0.99,94.3
118,1,1,5,35,39,30,14,15,16,16,30,12,16,1.0,85.37
119,1,0,14,47,38,29,12,20,19,9,28,16,24,1.0,69.23
120,1,0,4,38,43,29,7,20,20,9,26,20,17,0.99,56.07
121,1,14,6,43,38,18,10,20,14,11,30,15,24,0.98,34.74
122,0,5,5,48,44,26,10,19,14,15,30,16,21,0.98,136.73
123,1,5,4,39,45,25,12,14,16,13,23,20,17,1.0,86.1
124,1,13,2,48,34,29,9,21,20,9,30,16,23,0.95,320.32
125,0,3,28,35,43,29,9,25,14,9,19,10,19,0.98,79.48
126,1,0,24,48,27,18,13,20,20,10,30,18,23,0.98,0.55
127,1,2,0,41,38,27,6,21,18,13,27,16,20,0.99,58.06
128,0,6,18,41,45,17,11,19,20,13,30,20,22,0.97,37.55
